Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
so,No,3sg,sg,GL,"E li te--- ao mo te en travay la li te vi--- <DET>so fiy</DET> -- ye parl FRENCH to konnen -- <DET>so fiy</DET> te--- aben l te en vizit <DET>so fiy</DET>, e ye te andan, laba kote WAL-MART.",Ventress,1917,Female,Black
so,No,3sg,sg,GL,"E li te--- ao mo te en travay la li te vi--- <DET>so fiy</DET> -- ye parl FRENCH to konnen -- <DET>so fiy</DET> te--- aben l te en vizit <DET>so fiy</DET>, e ye te andan, laba kote WAL-MART.",Ventress,1917,Female,Black
so,No,3sg,sg,GL,"E li te--- ao mo te en travay la li te vi--- <DET>so fiy</DET> -- ye parl FRENCH to konnen -- <DET>so fiy</DET> te--- aben l te en vizit <DET>so fiy</DET>, e ye te andan, laba kote WAL-MART.",Ventress,1917,Female,Black
vo,No,2sg,sg,GL,"Mo di, 'Vou <VERB>gade</VERB> pou <DET>vo madanm</DET>?'",Ventress,1917,Female,Black
vou,No,2sg,sg,GL,"Nonm-la te sanm--- li te ga si sriprann ka mo monde l, 'T e garde pou--- vou è garde pou <DET>vou madonm</DET>?'",Ventress,1917,Female,Black
so,No,3sg,sg,GL,"Ka to soti kòte en lòt FOREIGN COUNTRY to pa konnen parle meriken aryen dtou, ENGLISH, to pa ka parle ENGLISH, to FIGURE ke mounn torontou twa parl pa ENGLISH ankò sa-fe li (ich sò) ave <DET>so fiy</DET> ti ka RELATE sa to di kote li, to konnen. ...",Ventress,1917,Female,Black
to,No,2sg,sg,GL,Na to <VERB>met</VERB> <DET>to AMOUNT</DET> dolo sa t <VERB>ole</VERB> met anndan <VERB>les</VERB> li boui.,Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Na ka tou sa (DOWN), na to <VERB>ADD</VERB>, to konnen, to <VERB>ADD</VERB> to zon--- to <VERB>ka</VERB> kwi zon--- to <VERB>ka</VERB> met <DET>to zonyon</DET> ondon lon onsonm ave <DET>to gonmbo</DET>.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Na ka tou sa (DOWN), na to <VERB>ADD</VERB>, to konnen, to <VERB>ADD</VERB> to zon--- to <VERB>ka</VERB> kwi zon--- to <VERB>ka</VERB> met <DET>to zonyon</DET> ondon lon onsonm ave <DET>to gonmbo</DET>.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,<DET>To zonyon</DET> to <VERB>ka</VERB> kwi tou sa onsonm.,Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Men si ten en mete konm, t en mete SEAFOOD, te en fe twè en SEAFOOD GUMBO, tonn ichka to prechke pare pou TURN <DET>to GUMBO</DET> OFF ovan to <VERB>met</VERB> <DET>to chevret</DET> andan, pase to konnen t a kwi ye a fe ye tro di.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Men si ten en mete konm, t en mete SEAFOOD, te en fe twè en SEAFOOD GUMBO, tonn ichka to prechke pare pou TURN <DET>to GUMBO</DET> OFF ovan to <VERB>met</VERB> <DET>to chevret</DET> andan, pase to konnen t a kwi ye a fe ye tro di.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,Fe <DET>to gonmbo</DET> tro gra.,Ventress,1917,Female,Black
to,No,2sg,sg,GL,Met <DET>to rou</DET> dan <DET>to gonmbo</DET>.,Ventress,1917,Female,Black
to,No,2sg,sg,GL,Met <DET>to rou</DET> dan <DET>to gonmbo</DET>.,Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Mè ka t en fe en lòt gonmbo, ich en PLAIN ganbo, ka t en fe en PLAIN ganmbo, s t en fe ten en ganbo ave poul, to <VERB>fri</VERB> <DET>to poul</DET>.",Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black
mo,No,1sg,pl,GL,Mo <VERB>gen</VERB> tou <DET>mo bout-ye</DET> tou koupe.,Ventress,1917,Female,Black
vou,No,2sg,sg,GL,To <VERB>pran</VERB> to en de avet en negwiy ... e <DET>vou difil</DET>. ...,Ventress,1917,Female,Black
to,No,2sg,sg,GL,"Te pa tou-mounn trava--- sèrv de, men sa a peche to pike <DET>to lamen</DET>, <DET>to dwa</DET>, to konnen, sa <VERB>peche</VERB> to pike <DET>to dwa</DET>.",Ventress,1917,Female,Black
