Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
totchèn kreyòl,No,2sg,sg,MP,Wè mo <VERB>kapab</VERB> pale kreyòl si mo kapab konpròn <DET>totchèn kreyòl</DET>.,Jarreau,1931,Female,White
te vwazen,Yes,2sg,pl,MP,E to ale pa nul par èksèpte a lantour <DET>te vwazen</DET>.,Jarreau,1931,Female,White
te vwazen,Yes,2sg,pl,MP,E se jus sa to waye sè te <DET>te vwazen</DET>.,Jarreau,1931,Female,White
motchèn popa,No,1sg,sg,MP,"BUT <DET>motchèn popa</DET> jame travay an kar, li toujou peye z lwaye. ...",Jarreau,1931,Female,White
motchèn fanmiy,No,1sg,sg,MP,"Me <DET>motchèn fanmiy</DET>--- mon mo te pa foutu parle langle, mo pa kònen langle dutou.",Jarreau,1931,Female,White
me frèr,Yes,1sg,pl,MP,Mon mo kouri lekòl e mo apràn langle e la <DET>me frèr</DET> e <DET>me sœr</DET> apròn avek mon kan ye ye kouri.,Jarreau,1931,Female,White
me sœr,Yes,1sg,pl,MP,Mon mo kouri lekòl e mo apràn langle e la <DET>me frèr</DET> e <DET>me sœr</DET> apròn avek mon kan ye ye kouri.,Jarreau,1931,Female,White
me onz,Yes,1sg,pl,MP,Andan <DET>me onz</DET> la mo sur ke mo u plus lendikasyon ke ena ki <VERB>gen</VERB> andan douz e katr an kolej astœr-la.,Jarreau,1931,Female,White
mo plu vyeu piti,No,1sg,sg,MP,"E se la motchenn, <DET>mo plu vyeu piti</DET> gradue.",Jarreau,1931,Female,White
me deu piti,Yes,1sg,pl,MP,"E la mo sòrti andan la, IN FACT <DET>me deu piti</DET> travay pou sa osi.",Jarreau,1931,Female,White
me planche,Yes,1sg,pl,MP,"Non, mo <VERB>bali</VERB> <DET>me planche</DET>.",Jarreau,1931,Female,White
motchenn plas,Yes,1sg,sg,MP,"Se konm <DET>motchenn plas</DET>, plus konm <DET>motchenn plas</DET> keu---",Jarreau,1931,Female,White
mo djòb,No,1sg,sg,MP,"BUT, mo <VERB>lenm</VERB> <DET>mo djòb</DET>.",Jarreau,1931,Female,White
mo UPDATE,No,1sg,sg,MP,"Apre, mo u <DET>mo UPDATE</DET>, <DET>mo COMPUTER</DET>, e tou le-z-afær, mo pa beuzwòn kèkœnn andan isit la mo plu kantan travay mo tou-sœl.",Jarreau,1931,Female,White
ye fanmiy,No,3pl,sg,MP,"Ènave pa pærsòn ki te--- tou-l-mòn ki reste la toujou ète la, ye te ne la, <DET>ye fanmiy</DET> te la avan ye, e sè te toujou--- se tou menm fanmiy-ye.",Jarreau,1931,Female,White
ye paran,No,3pl,sg,MP,"Trwa o kat jènèrasyon, se stil--- t a trouve keu <DET>ye paran</DET>.",Jarreau,1931,Female,White
ye paran,No,3pl,sg,MP,"BUT, <DET>ye paran</DET>.",Jarreau,1931,Female,White
Me vwazen,Yes,1sg,pl,MP,<DET>Me vwazen</DET> te toujou nwar.,Jarreau,1931,Female,White
metchenn piti,Yes,1sg,pl,MP,"Mo swatre <DET>metchenn piti</DET> e <DET>me gran-piti</DET>, te kapab èt èlve konm sa.",Jarreau,1931,Female,White
me gran-piti,Yes,1sg,pl,MP,"Mo swatre <DET>metchenn piti</DET> e <DET>me gran-piti</DET>, te kapab èt èlve konm sa.",Jarreau,1931,Female,White
ye kreyòl,No,3pl,sg,MP,"Mo trouve ye te parle mèm kreyòl e nouzòt myeu ke ye <VERB>parl</VERB> astœr-la, paskeu, mo trouv le nwar la pærd plen dan <DET>ye kreyòl</DET>, BUT, ye pa, me ye pa aprann langle kòm ye te supoze aprann langle.",Jarreau,1931,Female,White
motchenn byen,No,1sg,sg,MP,"OF COURSE, mo mo toujou krwaye keu nenpòt-ki ki seye ede mon le e ede mon pou <DET>motchenn byen</DET>.",Jarreau,1931,Female,White
metchenn piti,Yes,1sg,pl,MP,Mo eseye montre <DET>metchenn piti</DET> sa.,Jarreau,1931,Female,White
metchenn piti,Yes,1sg,pl,MP,"E se kòm mo mo ete èlve, mo eseye elve <DET>metchenn piti</DET> kòm sa.",Jarreau,1931,Female,White
ye mènaj,No,3pl,sg,MP,"E pèsòn asi pa andan la paskeu ye se gen <DET>ye mènaj</DET>, <DET>ye bon mènaj</DET> e pèrsòn voule pa to--- ye voule pa to sali mènaj -- mènaj AS YOU KNOW IS FURNITURE -- e ye se tchobo sa s--- sè te pito pou to gard, pa pou to asit andan. ...",Jarreau,1931,Female,White
mo momon,No,1sg,sg,MP,"Kote <DET>mo momon</DET> e <DET>mo popa</DET> sè te pròch kòm sa me ye te pa gen aryen an plastik, me <DET>mo gran-mèr</DET> li te gen sa.",Jarreau,1931,Female,White
mo popa,No,1sg,sg,MP,"Kote <DET>mo momon</DET> e <DET>mo popa</DET> sè te pròch kòm sa me ye te pa gen aryen an plastik, me <DET>mo gran-mèr</DET> li te gen sa.",Jarreau,1931,Female,White
mo gran-mèr,No,1sg,sg,MP,"Kote <DET>mo momon</DET> e <DET>mo popa</DET> sè te pròch kòm sa me ye te pa gen aryen an plastik, me <DET>mo gran-mèr</DET> li te gen sa.",Jarreau,1931,Female,White
To sofa,No,2sg,sg,MP,<DET>To sofa</DET>,Jarreau,1931,Female,White
ta chèz,Yes,2sg,sg,MP,e <DET>ta chèz</DET>.,Jarreau,1931,Female,White
ye lide,No,3pl,sg,MP,"E ye te pa gen mennen li, ye mennen li trwa smèn pase kan ye kouri an vakons, e ye te pa gen mennen li, ye chanje <DET>ye lide</DET>.",Jarreau,1931,Female,White
so SEAT,No,3sg,sg,MP,"Sa-fe kan ye a di li sa, li gen pou PROBABLY sote dan <DET>so SEAT</DET>!",Jarreau,1931,Female,White
sotchenn frær,No,3sg,sg,MP,"E, mo <VERB>gen</VERB> en kouzen, <DET>sotchenn frær</DET>, ki <VERB>res</VERB> ora <DET>ma fiy</DET>, ki <VERB>res</VERB> on Lil.",Jarreau,1931,Female,White
mo kouzen,No,1sg,sg,MP,"Nou te e parle kreyòl, mon e li, <DET>mo kouzen</DET>, nou te e kouri--- nou te dan LAS VEGAS, e nou <VERB>parl</VERB> kreyòl nenpòt-eou nou e, nou <VERB>parl</VERB> kreyòl (an) AIRPLANE moun <VERB>gad</VERB> twa e di, 'Eou sa-ye sòr?'",Jarreau,1931,Female,White
ma fanmiy,Yes,1sg,sg,MP,"To wa motchenn--- nou tou <DET>ma fanmiy</DET> èksèpte <DET>mo gran-papa</DET>, <DET>mo gran-papa</DET> sòrti dan NEWFOUNDLAND.",Jarreau,1931,Female,White
