Verb,Short,Speaker,Sentence,Origin,BirthYear,Gender,Race
konpron,Yes,AS,"Lèskalye tou te (BOX), to <VERB>konpron</VERB>.",Parlange,1903,Male,Black
fouti,NA,AS,"Li pa (...), li di 'DOGGONE, pa <VERB>fouti</VERB> kache mo wiski si ye <VERB>pe</VERB> trouve li!' ...",Parlange,1903,Male,Black
pe,Yes,AS,"Li pa (...), li di 'DOGGONE, pa <VERB>fouti</VERB> kache mo wiski si ye <VERB>pe</VERB> trouve li!' ...",Parlange,1903,Male,Black
ole,No,AS,"E, ye fanm di, 'GOD DOGGONE, zòt p <VERB>ole</VERB>--- zo <VERB>ret</VERB> dan souloun e tou-ki-cho.'",Parlange,1903,Male,Black
ka,Yes,AS,"E la, fanm-ye di, 'Astè-la zo pa <VERB>ka</VERB> kouri.'",Parlange,1903,Male,Black
konmpran,Yes,AS,"E tou boug-ye te e fe wiski, ènan ki te e charje trant pyas pou--- to pran konm O., te e fe pou M., to <VERB>konmpran</VERB>?",Parlange,1903,Male,Black
rapel,Yes,DG,Vou <VERB>rapel</VERB> vyeu prizon dèryè la?,New_Roads,1925,Male,Creole_of_color
rapel,Yes,AS,"Uhuh, mo <VERB>rapel</VERB> sa.",Parlange,1903,Male,Black
ole,No,DG,"Li di, Tan L. i di 'La mærd on F. e B., sa to fe avè djòg wiski-la, K., m <VERB>ole</VERB> en file!'",New_Roads,1925,Male,Creole_of_color
vo,NA,AS,"Li di, 'To <VERB>vo</VERB> pè en foud.' ...",Parlange,1903,Male,Black
ka,Yes,AS,"La li fini, i di, 'To <VERB>ka</VERB> donn li monje ka l a leve. To ka (...) li dèmen.'",Parlange,1903,Male,Black
