Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
Mo vye popa,No,1sg,sg,NF,<DET>Mo vye popa</DET> te konnen jwe vyelon.,Parlange Plantation,1905,Male,Black
mo vye nonk,No,1sg,sg,NF,E <DET>mo vye nonk</DET> te konnen jwè en l--- en BASS LI--- en BASS VIOLIN.,Parlange Plantation,1905,Male,Black
ouzokenn pei,No,2pl,sg,NF,M pa konnen si ouzò fe sa dan <DET>ouzokenn pei</DET>?,Parlange Plantation,1905,Male,Black
ye FRUIT,No,3pl,sg,NF,"E ye te pran sa, e ye te mèn de BAG, ye te me <DET>ye FRUIT</DET> andan-l.",Parlange Plantation,1905,Male,Black
ye fri,No,3pl,sg,NF,Mèt <DET>ye fri</DET> andan-l.,Parlange Plantation,1905,Male,Black
ye fiy,No,3pl,sg,NF,M <VERB>peu</VERB> pa kour wa <DET>ye fiy</DET> selman.,Parlange Plantation,1905,Male,Black
so de fonm,No,3sg,sg,NF,Li pæd <DET>so de fonm</DET>.,Parlange Plantation,1905,Male,Black
so telefòn,No,3sg,sg,NF,"Kan-se li <VERB>gen</VERB> en telefòn li petèt, <VERB>pe</VERB> pa kouri kote <DET>so telefòn</DET> pou fonm so g--- li <VERB>gen</VERB> en garson ki <VERB>res</VERB> dan NEW ROAD.",Parlange Plantation,1905,Male,Black
to lalijyon,No,2sg,sg,NF,Se <DET>to lalijyon</DET> ki di twa pa pou monje kribis?,Parlange Plantation,1905,Male,Black
to popa e moman,No,2sg,sg,NF,Me ... <DET>to popa e moman</DET> <VERB>rète</VERB> dan en vilaj o dan la konpony?,Parlange Plantation,1905,Male,Black
zòtchenn plas,No,2pl,sg,NF,"Zòt <VERB>gen</VERB> <DET>zòtchenn plas</DET>, <DET>zo OWN plas</DET> dan INDIANA?",Parlange Plantation,1905,Male,Black
zo OWN HOME,No,2pl,sg,NF,(...) gen <DET>zo OWN HOME</DET>.,Parlange Plantation,1905,Male,Black
zo kò,No,2pl,sg,NF,Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?,Parlange Plantation,1905,Male,Black
so lavi,No,3sg,sg,NF,"La ket sa <VERB>min</VERB> pou donn larjan dan la ket-la, pou ède li pou fe <DET>so lavi</DET>.",Parlange Plantation,1905,Male,Black
ye HOME,No,3pl,sg,NF,O wè se <DET>ye HOME</DET> dan la parwas la Pwent Koupe.,Parlange Plantation,1905,Male,Black
mo gran-popa,No,1sg,sg,NF,"WELL, <DET>mo gran-popa</DET>, so gran-m--- <DET>so moman</DET> te sorti dan Lafrik ka le blan te pran le koulè e vann ye konm le chval ave le mile.",Parlange Plantation,1905,Male,Black
so SALARY,No,3sg,sg,NF,"Ka mète l dan lofis-la, l a pran nenpòt sa l <VERB>ole</VERB> andan-n, e l a fe sa l <VERB>ole</VERB>, e l a fe so, <DET>so SALARY</DET>, sa le e fe SO MUCH A MONTH, e dèn li <VERB>ka</VERB> pran sa l <VERB>ole</VERB> andan-l.",Parlange Plantation,1905,Male,Black
ye PARTY,No,3pl,sg,NF,"Me t wa le mounn nwa, sè te <DET>ye PARTY</DET> la b--- uh, rèpoubliken.",Parlange Plantation,1905,Male,Black
Mo vye paran,No,1sg,sg,NF,"<DET>Mo vye paran</DET> sè te la, uh, rèpoubliken.",Parlange Plantation,1905,Male,Black
yetenn PARTY,No,3pl,sg,NF,Sa sè te <DET>yetenn PARTY</DET>.,Parlange Plantation,1905,Male,Black
so non,No,3sg,sg,NF,"M pa konnen k--- <DET>so non</DET>, la lijyon, men li pran en lòt.",Parlange Plantation,1905,Male,Black
to lalijyon,No,2sg,sg,NF,"Mo di, <DET>to lalijyon</DET> osi bon kè mokenn, mokenn osi bon ke totchenn.",Parlange Plantation,1905,Male,Black
zo lalijyon,No,2pl,sg,NF,"Ka kèlkenn <VERB>mouri</VERB> dan <DET>zo lalijyon</DET>, zo <VERB>vey</VERB> li?",Parlange Plantation,1905,Male,Black
Mo moman,No,1sg,sg,NF,"<DET>Mo moman</DET> mouri, <DET>mo popa</DET> mouri, nou veye ye.",Parlange Plantation,1905,Male,Black
mo popa,No,1sg,sg,NF,"<DET>Mo moman</DET> mouri, <DET>mo popa</DET> mouri, nou veye ye.",Parlange Plantation,1905,Male,Black
Mo frè,No,1sg,sg,NF,"<DET>Mo frè</DET> mouri, (nou) kouri veye li.",Parlange Plantation,1905,Male,Black
mo vye manman,No,1sg,sg,NF,"Men mon mo janma aprann sa, <DET>mo vye manman</DET> montre mon meriken.",Parlange Plantation,1905,Male,Black
Tokenn lalijyon,No,2sg,sg,NF,<DET>Tokenn lalijyon</DET> to fe <DET>to lapriyè</DET> (a) meriken o an franse?,Parlange Plantation,1905,Male,Black
to lapriyè,No,2sg,sg,NF,<DET>Tokenn lalijyon</DET> to fe <DET>to lapriyè</DET> (a) meriken o an franse?,Parlange Plantation,1905,Male,Black
